FeatureX,FeatureY,User_ID,Countries_ID,Created At time,Created At Year,Created At Month,Month Name,Created At Day_of_month
0,0,ID_DC6S4E9O,X9GR,33:13.7,1,1,Jan,16
0,0,ID_QZ1HASL3,X9GR,13:03.3,1,1,Jan,1
1,0,ID_W942LN7F,X9GR,33:06.5,1,1,Jan,16
1,0,ID_3XU6DO19,X9GR,39:20.9,1,1,Jan,25
0,0,ID_JTGYJ9VC,X9GR,11:10.4,1,1,Jan,23
1,0,ID_T92N5NBN,X9GR,59:46.7,1,1,Jan,9
0,0,ID_7TAHD093,X9GR,48:33.8,1,1,Jan,3
0,0,ID_XABPFUPQ,X9GR,17:20.4,1,1,Jan,9
0,0,ID_FMFOQFCQ,X9GR,54:58.2,1,1,Jan,6
1,1,ID_DMD15MNS,X9GR,36:45.0,1,1,Jan,4
0,0,ID_LN8MKZI4,X9GR,21:33.1,1,1,Jan,23
0,0,ID_KL7OBZXK,X9GR,14:46.4,1,1,Jan,23
1,0,ID_AFVOVXW3,X9GR,15:08.0,1,1,Jan,1
0,0,ID_OAT2Z0FH,X9GR,14:36.5,1,1,Jan,2
0,0,ID_A0UQPXF7,X9GR,18:51.3,1,1,Jan,10
1,1,ID_QHKYCSDQ,X9GR,49:31.9,1,1,Jan,3
0,0,ID_U1IJB9D9,X9GR,36:35.1,1,1,Jan,14
0,0,ID_OMO72Y9B,X9GR,27:20.9,1,1,Jan,1
1,1,ID_P4SR71JD,X9GR,09:03.9,1,1,Jan,3
0,0,ID_C5M47596,X9GR,54:21.2,1,1,Jan,2
0,0,ID_RR5FJVY6,X9GR,12:07.6,1,1,Jan,1
0,1,ID_LU7A9OQV,X9GR,47:23.5,1,1,Jan,10
0,0,ID_HLBCGUIA,X9GR,34:43.6,1,1,Jan,29
1,0,ID_7OWT3WQR,X9GR,02:03.4,1,1,Jan,22
0,1,ID_MKQE0KP2,X9GR,07:50.2,1,1,Jan,1
0,0,ID_IKA5CRGM,X9GR,20:05.0,1,1,Jan,4
0,1,ID_6QUAHNA4,X9GR,45:01.5,1,1,Jan,2
0,0,ID_OGOMIQYL,X9GR,19:55.3,1,1,Jan,17
0,1,ID_PO4VEE9G,X9GR,31:13.3,1,1,Jan,7
1,1,ID_L8UBZK66,X9GR,13:56.7,1,1,Jan,1
0,0,ID_AC8HAGSZ,X9GR,50:35.9,1,1,Jan,7
0,0,ID_M5L2DYMO,X9GR,55:27.1,1,1,Jan,16
0,1,ID_4YQJA1KG,X9GR,56:29.0,1,1,Jan,10
0,0,ID_FJW9CBC0,X9GR,05:41.5,1,1,Jan,23
1,0,ID_8ZTC5Y7X,X9GR,24:23.6,1,1,Jan,2
0,1,ID_8YC1N7MA,X9GR,15:06.4,1,1,Jan,26
0,0,ID_MV6WB19Q,X9GR,40:26.3,1,1,Jan,29
0,1,ID_2O74N45Z,X9GR,38:18.0,1,1,Jan,29
0,0,ID_EFVKIS90,X9GR,08:51.2,1,1,Jan,2
0,1,ID_QKHJA5U9,X9GR,10:51.0,1,1,Jan,4
0,1,ID_URW75PVV,X9GR,08:24.4,1,1,Jan,5
0,0,ID_K4KLF6D6,X9GR,20:54.8,1,1,Jan,1
0,0,ID_G6RCSW1I,X9GR,51:33.2,1,1,Jan,3
0,0,ID_PFND37AZ,X9GR,34:32.3,1,1,Jan,3
1,0,ID_YCIFFCJA,X9GR,30:42.0,1,1,Jan,6
0,0,ID_7J8Z1WEF,X9GR,50:14.5,1,1,Jan,13
0,1,ID_OR4UII0V,X9GR,21:55.4,1,1,Jan,21
0,1,ID_ATUFE9HU,X9GR,50:28.5,1,1,Jan,6
0,0,ID_MYXFLFHL,X9GR,43:52.6,1,1,Jan,10
0,0,ID_9VYI04GN,X9GR,37:44.8,1,1,Jan,2
